TransactionID	CustomerID	Product	Amount	TransactionDate	PaymentMethod	City	Category
1	CUST050	Spark Intro	356.94	13-04-2025	Cash	Houston	Tech
2	CUST091	Big Data Essentials	421.85	29-06-2025	PayPal	Seattle	Big Data
3	CUST052	Hadoop Basics	63.01	03-04-2025	Credit Card	San Francisco	Big Data
4	CUST027	Spark Intro	334.12	15-01-2025	Credit Card	New York	Big Data
5	CUST028	Python for Data	195.43	17-04-2025	Debit Card	Los Angeles	Tech
6	CUST081	Big Data Essentials	458.23	13-03-2025	PayPal	Houston	Programming
7	CUST083	Hadoop Advanced	465.15	21-01-2025	PayPal	New York	Programming
8	CUST003	Spark Advanced	398.32	13-04-2025	PayPal	Houston	Tech
9	CUST086	Spark Intro	180.99	02-05-2025	Credit Card	Los Angeles	Tech
10	CUST003	Big Data Essentials	401.49	16-03-2025	Debit Card	Los Angeles	Big Data
11	CUST095	Python for Data	479.22	29-03-2025	Cash	Seattle	Tech
12	CUST069	Spark Intro	450.13	27-04-2025	Cash	San Francisco	Big Data
13	CUST022	Hadoop Basics	293.49	10-04-2025	Cash	San Francisco	Programming
14	CUST042	Big Data Essentials	357.01	14-04-2025	Credit Card	Los Angeles	Programming
15	CUST063	Spark Advanced	383.28	01-06-2025	Debit Card	San Francisco	Big Data
16	CUST037	Spark Advanced	280.5	11-05-2025	PayPal	Houston	Big Data
17	CUST004	Spark Advanced	447.48	30-05-2025	Cash	Houston	Big Data
18	CUST068	Python for Data	222.82	22-02-2025	Credit Card	Seattle	Tech
19	CUST026	Python for Data	409.15	02-01-2025	Credit Card	Chicago	Big Data
20	CUST033	Big Data Essentials	96.81	29-03-2025	Credit Card	Chicago	Tech
21	CUST029	Spark Intro	163.69	07-06-2025	PayPal	Houston	Programming
22	CUST012	Spark Intro	389.14	07-02-2025	Cash	Seattle	Tech
23	CUST024	Hadoop Basics	64.83	10-05-2025	PayPal	Houston	Programming
24	CUST006	Big Data Essentials	55.24	21-01-2025	Credit Card	Houston	Big Data
25	CUST051	Spark Advanced	409.11	10-06-2025	PayPal	Chicago	Big Data
26	CUST063	Hadoop Basics	493	27-02-2025	PayPal	Seattle	Programming
27	CUST084	Spark Advanced	481.73	22-01-2025	PayPal	Chicago	Big Data
28	CUST057	Hadoop Basics	186.8	30-03-2025	Debit Card	Seattle	Big Data
29	CUST033	Spark Intro	127.13	18-02-2025	Cash	Chicago	Programming
30		Python for Data	264.84	28-02-2025	PayPal	Chicago	Big Data
31	CUST023	Spark Advanced	305.85	19-06-2025	Debit Card	Houston	Programming
32	CUST044	Hadoop Advanced	131.99	15-01-2025	Debit Card	Houston	Tech
33	CUST090	Spark Intro	233.83	24-06-2025	Debit Card	Seattle	Programming
34	CUST038	Hadoop Basics	51.94	20-02-2025	Cash	New York	Programming
35	CUST029	Hadoop Advanced	154.82	18-04-2025	Cash	Seattle	Tech
36	CUST063	Hadoop Basics	69.96	24-02-2025	Cash	Los Angeles	Tech
37	CUST025	Python for Data	481.73	05-03-2025	Credit Card	New York	Big Data
38	CUST076	Spark Advanced	74.1	11-05-2025	Credit Card	Chicago	Big Data
39	CUST011	Spark Advanced	124.56	20-02-2025	PayPal	Los Angeles	Tech
40	CUST069	Hadoop Advanced	110.04	15-05-2025	Credit Card	Seattle	Tech
41	CUST013	Python for Data	102.24	21-01-2025	Credit Card	Seattle	Big Data
42	CUST082	Hadoop Advanced	484.03	14-03-2025	Cash	San Francisco	Big Data
43	CUST060	Big Data Essentials	463.17	16-06-2025	PayPal	Los Angeles	Big Data
44	CUST068	Hadoop Basics	54.45	18-01-2025	Credit Card	Chicago	Big Data
45	CUST097	Spark Intro	416.73	12-05-2025	Cash	Seattle	Tech
46	CUST057	Spark Intro	348.93	30-03-2025	Debit Card	Chicago	Tech
47	CUST018	Hadoop Basics	56.5	01-03-2025	Debit Card	Chicago	Big Data
48	CUST039	Hadoop Basics	148.55	14-01-2025	PayPal		Big Data
49	CUST091	Big Data Essentials	120.54	09-01-2025	PayPal	San Francisco	Programming
50	CUST028	Hadoop Basics	196.52	31-03-2025	Credit Card	San Francisco	Big Data
51	CUST025	Hadoop Advanced	214.05	22-02-2025	Credit Card	Houston	Programming
52	CUST035	Hadoop Basics	113.21	10-05-2025	Debit Card	Seattle	Big Data
53	CUST011	Spark Intro	332.43	25-03-2025	Debit Card	San Francisco	Tech
54	CUST032	Spark Advanced	153.16	02-04-2025	PayPal	Houston	Tech
55	CUST020	Hadoop Basics	336.01	21-04-2025	Credit Card	San Francisco	Big Data
56	CUST066	Hadoop Advanced	58.27	21-06-2025	PayPal	New York	Programming
57	CUST057	Hadoop Advanced	240.87	08-01-2025	PayPal	Houston	Big Data
58	CUST093	Hadoop Basics	381.09	24-06-2025	PayPal	San Francisco	Big Data
59	CUST005	Hadoop Advanced	493.5	04-02-2025	Debit Card	Seattle	Programming
60	CUST001	Python for Data	129.45	22-03-2025	Credit Card	New York	Tech
61	CUST018	Hadoop Basics	491.68	13-06-2025	Cash	New York	Tech
62	CUST065	Big Data Essentials	162.64	19-02-2025	Cash	Chicago	Big Data
63	CUST097	Big Data Essentials	68.61	14-04-2025	Cash	New York	Programming
64	CUST073	Big Data Essentials	288.55	12-05-2025	PayPal	Chicago	Tech
65	CUST050	Spark Intro	265.39	02-01-2025	Cash	Chicago	Tech
66	CUST028	Big Data Essentials	482.91	14-05-2025	Debit Card	New York	Big Data
67	CUST064	Spark Advanced	412.44	23-02-2025	Debit Card	San Francisco	Tech
68	CUST083	Spark Advanced	367.84	16-04-2025	Debit Card	Chicago	Big Data
69	CUST093	Hadoop Advanced	464.47	04-01-2025	Cash	San Francisco	Tech
70	CUST004	Spark Intro	380.57	23-02-2025	Credit Card	Los Angeles	Big Data
71	CUST035	Spark Intro	92.1	26-05-2025		Los Angeles	Tech
72	CUST085	Spark Intro	138.03	13-02-2025	PayPal	Los Angeles	Programming
73	CUST063	Big Data Essentials	457.65	11-06-2025	PayPal	Houston	Big Data
74	CUST100	Spark Advanced	69.38	14-01-2025	Credit Card	Chicago	Programming
75	CUST090	Spark Intro	133.84	05-04-2025	Cash	Houston	Big Data
76	CUST079	Spark Intro	453.6	17-02-2025	Credit Card	Los Angeles	Tech
77	CUST064	Python for Data	455.22	15-01-2025	Debit Card	Chicago	Programming
78	CUST025	Python for Data	184.32	09-02-2025	PayPal	New York	Programming
79	CUST043	Hadoop Advanced	374.14	23-03-2025	Cash	Chicago	Programming
80	CUST099	Spark Intro	426.86	21-04-2025	Cash	New York	Big Data
81	CUST082	Big Data Essentials	351.91	22-02-2025	Debit Card	Los Angeles	Tech
82	CUST018	Spark Advanced	53.58	24-01-2025	PayPal	San Francisco	Tech
83	CUST080	Spark Advanced	160.34	03-06-2025	Cash	San Francisco	Big Data
84	CUST093	Big Data Essentials	431.34	04-05-2025	Cash	Houston	Big Data
85	CUST036	Spark Advanced	455.91	10-02-2025	Cash	San Francisco	Big Data
86	CUST100	Hadoop Advanced	136.74	06-06-2025	Credit Card	Chicago	Big Data
87	CUST095	Python for Data	271.31	15-01-2025	Debit Card	New York	Programming
88	CUST030	Hadoop Advanced	469.02	14-02-2025	Credit Card	New York	Tech
89	CUST073	Spark Intro	275.5	06-03-2025	Cash	Los Angeles	Big Data
90	CUST005	Big Data Essentials	430.08	30-03-2025	Debit Card	Seattle	Tech
91	CUST076	Spark Intro	165.91	12-03-2025	Credit Card	New York	Programming
92	CUST092	Big Data Essentials	225.37	09-01-2025	Debit Card	Los Angeles	Tech
93	CUST067	Hadoop Basics	191.47	29-03-2025	Debit Card	Los Angeles	Big Data
94	CUST057	Python for Data	361.79	09-05-2025	Cash	Seattle	Tech
95	CUST021	Hadoop Basics	70.34	16-05-2025	Cash	San Francisco	Programming
96	CUST036	Hadoop Basics	343.39	04-03-2025	Cash	New York	Big Data
97	CUST084	Big Data Essentials	392.21	19-05-2025	Debit Card	Los Angeles	Tech
